code,canonical_name,source,wiktionary_url,wikidata_id,family_code,family_name,family_parent_code,ancestor_codes,script_codes,short_description,description_source_urls,description_status,description_model,description_updated_at,metadata
aa,Afar,wiktionary,https://en.wiktionary.org/wiki/Category:Afar_language,Q27811,cus-eas,East Cushitic,cus,"[""afa-pro"",""cus-pro""]","[""Latn"",""Ethi""]",,[],missing,,,{}
aav-pro,Proto-Austroasiatic,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Austroasiatic_language,,,,,[],[],,[],missing,,,{}
ab,Abkhaz,wiktionary,https://en.wiktionary.org/wiki/Category:Abkhaz_language,Q5111,cau-abz,Abkhaz-Abaza,cau-nwc,"[""cau-nwc-pro"",""cau-abz-pro""]","[""Cyrl"",""Geor"",""Latn""]",,[],missing,,,{}
abe,Abenaki,wiktionary,https://en.wiktionary.org/wiki/Category:Abenaki_language,Q17502788,alg-abp,Abenaki-Penobscot,alg-eas,"[""aql-pro"",""alg-pro""]","[""Latn""]",,[],missing,,,{}
abq,Abaza,wiktionary,https://en.wiktionary.org/wiki/Category:Abaza_language,Q27567,cau-abz,Abkhaz-Abaza,cau-nwc,"[""cau-nwc-pro"",""cau-abz-pro""]","[""Cyrl"",""Latn""]",,[],missing,,,{}
abs,Ambonese Malay,wiktionary,https://en.wiktionary.org/wiki/Category:Ambonese_Malay_language,Q3124354,crp,creole or pidgin,qfa-cnt,"[""ms-old"",""ms-cla"",""ms""]","[""Latn""]",,[],missing,,,{}
abv,Baharna Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:Baharna_Arabic_language,Q56576,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar""]","[""Arab""]",,[],missing,,,{}
abx,Inabaknon,wiktionary,https://en.wiktionary.org/wiki/Category:Inabaknon_language,Q2820163,poz-sbj,Sama-Bajaw,poz,"[""map-pro"",""poz-pro""]","[""Latn""]",,[],missing,,,{}
ace,Acehnese,wiktionary,https://en.wiktionary.org/wiki/Category:Acehnese_language,Q27683,cmc,Chamic,poz-mcm,"[""map-pro"",""poz-pro"",""poz-msa-pro"",""poz-mcm-pro"",""cmc-pro""]","[""Latn"",""ms-Arab""]",,[],missing,,,{}
ach,Acholi,wiktionary,https://en.wiktionary.org/wiki/Category:Acholi_language,Q34926,sdv-los,Southern Luo,sdv-luo,"[""sdv-nil-pro""]","[""Latn""]",,[],missing,,,{}
acm,Iraqi Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:Iraqi_Arabic_language,Q56232,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar""]","[""Arab"",""Hebr""]",,[],missing,,,{}
acw,Hijazi Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:Hijazi_Arabic_language,Q56608,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar""]","[""Arab""]",,[],missing,,,{}
acx,Omani Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:Omani_Arabic_language,Q56630,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar""]","[""Arab""]",,[],missing,,,{}
acy,Cypriot Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:Cypriot_Arabic_language,Q56416,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar"",""acm""]","[""Latn"",""Grek""]",,[],missing,,,{}
adi,Adi,wiktionary,https://en.wiktionary.org/wiki/Category:Adi_language,Q56440,sit-tan,Tani,sit,"[""sit-pro"",""sit-tan-pro""]","[""Latn""]",,[],missing,,,{}
ady,West Circassian,wiktionary,https://en.wiktionary.org/wiki/Category:West_Circassian_language,Q27776,cau-cir,Circassian,cau-nwc,"[""cau-nwc-pro"",""cau-cir-pro""]","[""Cyrl"",""Latn"",""Arab""]",,[],missing,,,{}
ae,Avestan,wiktionary,https://en.wiktionary.org/wiki/Category:Avestan_language,Q29572,ira-cen,Central Iranian,ira,"[""ine-pro"",""iir-pro"",""ira-pro""]","[""Avst"",""Gujr"",""Deva""]",,[],missing,,,{}
aeb,Tunisian Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:Tunisian_Arabic_language,Q56240,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar""]","[""Arab""]",,[],missing,,,{}
aee,Northeast Pashayi,wiktionary,https://en.wiktionary.org/wiki/Category:Northeast_Pashayi_language,Q12642198,inc-pas,Pashayi,inc-dar,"[""ine-pro"",""iir-pro"",""inc-pro"",""inc-ash""]","[""fa-Arab"",""Latn""]",,[],missing,,,{}
aer,Eastern Arrernte,wiktionary,https://en.wiktionary.org/wiki/Category:Eastern_Arrernte_language,Q10728232,aus-rnd,Arandic,aus-pam,"[""aus-pam-pro""]","[""Latn""]",,[],missing,,,{}
af,Afrikaans,wiktionary,https://en.wiktionary.org/wiki/Category:Afrikaans_language,Q14196,gmw-frk,Low Franconian,gmw,"[""ine-pro"",""gem-pro"",""gmw-pro"",""frk"",""odt"",""dum"",""nl""]","[""Latn"",""Arab""]",,[],missing,,,{}
afa-pro,Proto-Afroasiatic,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Afroasiatic_language,,,,,[],[],,[],missing,,,{}
afb,Gulf Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:Gulf_Arabic_language,Q56385,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar""]","[""Arab""]",,[],missing,,,{}
agj,Argobba,wiktionary,https://en.wiktionary.org/wiki/Category:Argobba_language,Q29292,sem-eth,Ethiopian Semitic,sem-wes,"[""afa-pro"",""sem-pro"",""sem-wes-pro""]","[""Ethi""]",,[],missing,,,{}
