id,code,canonical_name,source,wiktionary_url,wikidata_id,family_code,family_name,family_parent_code,ancestor_codes,script_codes,short_description,description_source_urls,description_status,description_model,description_updated_at,metadata
019e8878-7256-7540-b8a1-5cfe1d4c7c0e,aa,Afar,wiktionary,https://en.wiktionary.org/wiki/Category:Afar_language,Q27811,cus-eas,East Cushitic,cus,"[""afa-pro"",""cus-pro""]","[""Latn"",""Ethi""]","Afar is an Afro-Asiatic language of the Cushitic branch. It is spoken in the Horn of Africa by communities associated with the Afar language group, and its linguistic classification is reflected in its categorization as Afar language in lexical reference collections.",[],missing,,,{}
019e8878-7285-7f8e-9ad8-9ce7ea8a7ba0,aav-pro,Proto-Austroasiatic,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Austroasiatic_language,,,,,[],[],Proto-Austroasiatic is the reconstructed common ancestor of the Austroasiatic language family. It is not directly attested; evidence comes from comparative reconstruction across its descendant languages such as Mon-Khmer and Munda. These reconstructions aim to explain shared phonological and lexical features.,[],missing,,,{}
019e8878-72b1-7135-b57b-0e0d910ff50e,ab,Abkhaz,wiktionary,https://en.wiktionary.org/wiki/Category:Abkhaz_language,Q5111,cau-abz,Abkhaz-Abaza,cau-nwc,"[""cau-nwc-pro"",""cau-abz-pro""]","[""Cyrl"",""Geor"",""Latn""]","Abkhaz is a Northwest Caucasian language spoken in Abkhazia, a region on the Black Sea coast of Georgia. It is used by communities in that area and is indexed among the Abkhaz language varieties in reference works, reflecting its status as a distinct language within the Caucasian linguistic landscape.",[],missing,,,{}
019e8878-72e1-7e2a-a4d7-bd8b7524510d,abe,Abenaki,wiktionary,https://en.wiktionary.org/wiki/Category:Abenaki_language,Q17502788,alg-abp,Abenaki-Penobscot,alg-eas,"[""aql-pro"",""alg-pro""]","[""Latn""]",Abenaki is an Algonquian language of the Abenaki people in the northeastern portion of North America. It belongs to the Algonquian language family and has historical and continued use among Indigenous communities in present-day Canada and the United States.,[],missing,,,{}
019e8878-730f-7d4d-8587-f6d722017d45,abq,Abaza,wiktionary,https://en.wiktionary.org/wiki/Category:Abaza_language,Q27567,cau-abz,Abkhaz-Abaza,cau-nwc,"[""cau-nwc-pro"",""cau-abz-pro""]","[""Cyrl"",""Latn""]",Abaza is a language of the Northwest Caucasian language family spoken by the Abaza people in the Caucasus region. It is documented in linguistic reference works and classified under the Abaza language category; available materials describe its existence and classification but do not provide precise contemporary speaker counts or a fixed historical period.,[],missing,,,{}
019e8878-733e-7859-96d2-02e2ef72b481,abs,Ambonese Malay,wiktionary,https://en.wiktionary.org/wiki/Category:Ambonese_Malay_language,Q3124354,crp,creole or pidgin,qfa-cnt,"[""ms-old"",""ms-cla"",""ms""]","[""Latn""]",Ambonese Malay is a Malay language of the Ambon Islands in Indonesia. It is part of the Malayic branch of the Austronesian language family and is used in the Ambon region; it functions as a regional language for everyday communication among local communities.,[],missing,,,{}
019e8878-736d-7a30-a487-ff34b79378f5,abv,Baharna Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:Baharna_Arabic_language,Q56576,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar""]","[""Arab""]","Baharna Arabic is a variety of Arabic within the Afro-Asiatic language family. It represents a regional form of Arabic with distinctive phonological and lexical features compared to other dialects, and it is documented as the Baharna Arabic language in linguistic references.",[],missing,,,{}
019e8878-739b-7d77-904b-70f898b1acc3,abx,Inabaknon,wiktionary,https://en.wiktionary.org/wiki/Category:Inabaknon_language,Q2820163,poz-sbj,Sama-Bajaw,poz,"[""map-pro"",""poz-pro""]","[""Latn""]","Inabaknon is an Austronesian language spoken on Capul Island in Northern Samar, Philippines. Its listing places it within the wider Austronesian family, without asserting a precise sub-branch, while providing a concise framework for etymology-focused reference.",[],missing,,,{}
019e8878-73cc-778d-af20-8a20d17a0470,ace,Acehnese,wiktionary,https://en.wiktionary.org/wiki/Category:Acehnese_language,Q27683,cmc,Chamic,poz-mcm,"[""map-pro"",""poz-pro"",""poz-msa-pro"",""poz-mcm-pro"",""cmc-pro""]","[""Latn"",""ms-Arab""]","Acehnese is an Austronesian language in the Malayic branch spoken in Aceh, a province on the northern tip of Sumatra, Indonesia. It is a living language with its own dialects and historical attestations, part of the wider Malayic languages within the Austronesian family.",[],missing,,,{}
019e8878-73fa-780e-904a-9b7d2743102b,ach,Acholi,wiktionary,https://en.wiktionary.org/wiki/Category:Acholi_language,Q34926,sdv-los,Southern Luo,sdv-luo,"[""sdv-nil-pro""]","[""Latn""]","Acholi is a language identified by the entry named Acholi language in a linguistic category. It is part of the African language landscape documented in this resource, with entries for related terms and linguistic notes grouped under the Acholi language category.",[],missing,,,{}
